2017/10/06 16:33:36.835 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:34:41.213 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:35:57.453 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:38:07.338 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:38:22.428 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:38:25.364 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:38:31.795 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:42:01.176 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:42:21.986 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:42:53.723 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:43:33.769 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:43:47.547 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:43:52.925 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:44:02.545 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:44:28.631 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:44:37.043 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
